budget,popularity,revenue,runtime,title,avg_rating,ratings,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,release_year,director,actor_1,actor_2,actor_3,success,director_success_rate,actor_1_success_rate,actor_2_success_rate,actor_3_success_rate
195000000,28.529607,1123746996,154.0,Transformers: Dark of the Moon,6.1,3299,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2011,Michael Bay,Shia LaBeouf,John Malkovich,Ken Jeong,1,0.8333333333333334,0.8571428571428571,0.5714285714285714,1.0
185000000,75.674458,786636033,122.0,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,Steven Spielberg,Harrison Ford,Cate Blanchett,Shia LaBeouf,1,0.9259259259259259,0.6842105263157895,0.75,1.0
175000000,51.692953,331926147,93.0,The Good Dinosaur,6.6,1736,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2015,Peter Sohn,Raymond Ochoa,Jack Bright,Jeffrey Wright,1,1.0,1.0,1.0,0.6666666666666666
185000000,125.114374,538983207,93.0,Brave,6.7,4641,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2012,Brenda Chapman,Kelly Macdonald,Julie Walters,Billy Connolly,1,1.0,1.0,1.0,0.6666666666666666
185000000,65.352913,343471816,122.0,Star Trek Beyond,6.6,2568,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016,Justin Lin,Chris Pine,Zachary Quinto,Karl Urban,1,1.0,0.6666666666666666,1.0,0.6666666666666666
180000000,66.390712,521311860,98.0,WALL·E,7.8,6296,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2008,Andrew Stanton,Ben Burtt,Elissa Knight,Jeff Garlin,1,0.75,1.0,1.0,1.0
140000000,22.57178,258022233,91.0,Rush Hour 3,6.1,783,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2007,Brett Ratner,Chris Tucker,Jackie Chan,Hiroyuki Sanada,1,0.8571428571428571,1.0,1.0,1.0
200000000,45.274225,769653595,158.0,2012,5.6,4903,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2009,Roland Emmerich,John Cusack,Amanda Peet,Chiwetel Ejiofor,1,0.625,0.7,0.6666666666666666,1.0
200000000,39.744242,325233863,96.0,A Christmas Carol,6.6,1095,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,Robert Zemeckis,Gary Oldman,Jim Carrey,Steve Valentine,1,1.0,0.75,0.5,1.0
176000003,85.36908,183987723,124.0,Jupiter Ascending,5.2,2768,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2015,Lilly Wachowski,Mila Kunis,Channing Tatum,Sean Bean,0,0.6666666666666666,0.5,0.8571428571428571,0.6666666666666666
